SEXO,ESTADO,ADH,PD,CSAT,AHT,email_identifier,PERFORMANCE_GROUP,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
F,ACTIVO,0.994907,3.234717,4.0,340.367347,229,0.0,,,,,
F,ACTIVO,0.327496,12.599357,4.149733,0.0,230,0.0,,,,,
F,INACTIVO,0.989236,10.58657,4.058824,0.0,231,1.0,,,,,
F,ACTIVO,0.887657,10.823449,4.19,0.0,232,0.0,,,,,
M,ACTIVO,0.989448,10.627177,4.36342,0.0,233,0.0,,,,,
M,INACTIVO,0.0,0.0,0.0,0.0,234,1.0,,,,,
M,ACTIVO,0.997552,9.183027,4.193084,0.0,235,1.0,,,,,
F,INACTIVO,0.868901,11.394254,4.235589,0.0,236,0.0,,,,,
M,ACTIVO,0.829917,11.911242,4.26087,0.0,237,1.0,,,,,
F,INACTIVO,0.179167,7.490245,4.0,0.0,238,1.0,,,,,
F,INACTIVO,0.0,7.605126,0.0,0.0,239,1.0,,,,,
M,INACTIVO,0.898417,27.093769,4.15514,0.0,240,1.0,,,,,
F,ACTIVO,1.021333,23.612069,4.129032,293.085106,241,0.0,41.0,49.0,43.0,43.0,46.0
M,INACTIVO,0.905852,3.33995,4.097561,200.679856,242,0.0,,,,,
M,ACTIVO,0.976089,16.492513,4.26195,0.0,243,0.0,,,,,
F,ACTIVO,0.73693,9.531548,3.881119,0.0,244,0.0,,,,,
M,ACTIVO,0.976647,12.652367,4.249661,0.0,245,0.0,,,,,
F,INACTIVO,0.0,4.590494,0.0,0.0,246,1.0,,,,,
F,ACTIVO,0.969327,11.388093,4.354906,0.0,247,0.0,,,,,
F,INACTIVO,0.626369,4.027306,3.7,186.86129,248,1.0,,,,,
F,INACTIVO,0.832154,8.308373,3.918033,0.0,249,1.0,,,,,
F,ACTIVO,0.906495,8.421614,4.337209,0.0,250,0.0,,,,,
F,ACTIVO,0.993355,4.107284,4.5625,0.0,251,0.0,,,,,
F,ACTIVO,0.979186,0.888077,4.828571,0.0,252,0.0,,,,,
F,ACTIVO,0.918342,4.084194,4.212766,0.0,253,0.0,,,,,
M,ACTIVO,0.996739,15.669425,4.358712,0.0,254,0.0,,,,,
M,INACTIVO,0.702799,9.726497,4.42,0.0,255,0.0,,,,,
F,ACTIVO,0.925613,5.087739,4.3125,0.0,256,0.0,,,,,
M,ACTIVO,0.642056,2.318403,4.04878,456.104651,257,0.0,,,,,
F,INACTIVO,0.786277,14.926794,4.294393,0.0,258,1.0,,,,,
F,ACTIVO,0.786946,2.415591,4.422111,409.688421,259,0.0,41.0,50.0,46.0,33.0,44.0
M,ACTIVO,0.857059,13.657014,4.323838,0.0,260,0.0,,,,,
F,ACTIVO,0.965191,13.222886,4.421711,0.0,261,0.0,32.0,35.0,49.0,46.0,43.0
F,ACTIVO,0.957051,4.492838,3.902778,0.0,262,0.0,,,,,
F,INACTIVO,0.991427,19.658855,4.180897,0.0,263,1.0,,,,,
F,INACTIVO,0.608418,16.198881,4.256858,0.0,264,1.0,,,,,
F,ACTIVO,0.907834,11.79863,4.163842,0.0,265,0.0,,,,,
F,ACTIVO,0.997639,13.291318,4.292887,0.0,266,0.0,,,,,
F,ACTIVO,0.969342,8.860571,4.142857,0.0,267,0.0,,,,,
M,ACTIVO,0.997958,13.471122,4.122727,0.0,268,1.0,,,,,
F,ACTIVO,0.965566,10.158058,4.301573,0.0,269,0.0,38.0,43.0,48.0,36.0,42.0
F,INACTIVO,0.734508,16.698343,4.384673,0.0,270,0.0,,,,,
F,INACTIVO,0.0,7.392612,0.0,0.0,271,1.0,,,,,
F,INACTIVO,0.598778,13.557338,4.234694,0.0,272,1.0,,,,,
F,INACTIVO,0.51684,2.806074,3.785714,895.692308,273,1.0,,,,,
M,INACTIVO,0.66485,3.346491,4.485714,0.0,274,1.0,,,,,
M,INACTIVO,0.34375,5248.665163,4.092437,0.0,275,0.0,,,,,
